,ARS,지하철역
526,2260,상왕십리
527,2261,신당
528,2262,서대문
529,2269,회현(남대문시장)
530,2272,종로5가
531,2273,동묘앞
532,2274,동대문역사문화공원
533,2275,동대문역사문화공원
534,2277,동묘앞
535,2278,회현(남대문시장)
536,2279,동대문
537,2280,동대문역사문화공원
538,2281,서대문
539,2282,서울역
540,2283,회현(남대문시장)
541,2284,회현(남대문시장)
542,2285,회현(남대문시장)
543,2286,시청
544,2287,을지로3가
545,2288,동대입구
546,2289,충무로
547,2501,약수
548,2502,광화문(세종문화회관)
549,2503,시청
550,2504,시청
551,2505,서울
552,2506,회현(남대문시장)
553,2507,시청
554,2510,신당
555,2513,서울
556,2514,서울
557,2515,서울역
558,2516,서울
559,2517,신금호
560,2518,신금호
561,2519,금호
562,2520,금호
563,2521,약수
564,2522,약수
565,2523,약수
566,2524,약수
567,2605,회현(남대문시장)
568,2639,을지로입구
569,2640,시청
570,2641,시청
571,2643,시청
572,2649,시청
573,2652,동대입구
574,2661,광화문(세종문화회관)
575,2662,시청
576,2664,서대문
577,2665,서울
578,2669,명동
579,2679,충무로
580,2680,회현(남대문시장)
581,2681,을지로입구
582,2682,서대문
583,2685,서울
584,2686,동대문역사문화공원
585,2687,동대문역사문화공원
586,2688,동대문역사문화공원
587,2692,약수
588,2693,회현(남대문시장)
589,2694,서울
590,2695,서울
591,2699,시청
592,2706,시청
593,2707,회현(남대문시장)
594,2708,회현(남대문시장)
595,2709,동대문역사문화공원
596,2710,동대문역사문화공원
597,2711,동대문역사문화공원
598,2712,동대문역사문화공원
599,2901,광화문(세종문화회관)
600,2902,시청
601,2903,회현(남대문시장)
602,2904,명동
603,2905,충무로
604,2906,동대입구
605,2907,동대입구
606,2908,동대문역사문화공원
607,2909,명동
608,2919,명동
609,2920,동대문역사문화공원
610,2921,을지로4가
611,2922,을지로3가
612,2923,을지로입구
613,2925,을지로입구
614,2926,신당
615,2927,명동
616,3001,신용산
617,3002,신용산
618,3003,신용산
619,3004,신용산
620,3005,신용산
621,3006,삼각지
622,3007,삼각지
623,3008,삼각지
624,3009,숙대입구(갈월)
625,3010,숙대입구(갈월)
626,3011,서울역
627,3012,숙대입구(갈월)
628,3110,숙대입구(갈월)
629,3111,숙대입구(갈월)
630,3119,신용산
631,3122,신용산
632,3124,서울역
633,3125,서울역
634,3126,숙대입구(갈월)
635,3127,숙대입구(갈월)
636,3128,숙대입구(갈월)
637,3129,숙대입구(갈월)
638,3130,숙대입구(갈월)
639,3131,숙대입구(갈월)
640,3132,신용산
641,3133,신용산
642,3134,신용산
643,3135,신용산
644,3136,효창공원앞
645,3137,효창공원앞
646,3138,효창공원앞
647,3139,숙대입구(갈월)
648,3140,숙대입구(갈월)
649,3141,효창공원앞
