,역명,지하철역
270,종각.공평유적전시관,종각
271,인사동.아벤트리호텔,종각
272,JW메리어트동대문호텔,동대문
273,대학로,혜화
274,창경궁,혜화
275,인사동.북촌,안국
276,경복궁.국립민속박물관,안국
277,종각역,종각
278,인사동.탑골공원,종로3가(탑골공원)
279,종묘.세운상가,종로3가
280,동묘.숭인동도깨비시장,동묘앞
281,서울풍물시장,신설동
282,청와대,경복궁(정부서울청사)
283,남대문세무서.서울백병원,을지로3가
284,서울백병원.국가인권위.안중근활동터,을지로3가
285,서울역버스환승센터,서울역
286,서울역버스환승센터.강우규의거터,서울역
287,숭례문,회현(남대문시장)
288,서울시청,을지로입구
289,만리동고개,애오개
290,손기정체육공원입구,서울역
291,경기여상입구.서울역서부,서울
292,서울역서부,서울
293,중림동교차로,서울
294,종근당.충정로역,충정로(경기대입구)
295,한국경제신문사,서울
296,경찰청.동북아역사재단,서대문
297,써미트호텔,동대입구
298,서대문경찰서.농협은행.유관순활동터,서대문
299,염천교,서울
300,숭례문.한국일보,회현(남대문시장)
301,후암삼거리,서울역
302,남대문시장악세사리전문상가,회현(남대문시장)
303,숭례문남산방향,회현(남대문시장)
304,남대문시장,회현(남대문시장)
305,북창동.남대문시장,회현(남대문시장)
306,시청앞,시청
307,삼성본관앞,회현(남대문시장)
308,서소문,시청
309,시청.서소문청사,시청
310,서울신문사,시청
311,우리은행종로지점,을지로입구
312,롯데백화점,을지로입구
313,해운센터.롯데영프라자,을지로입구
314,롯데영프라자,을지로입구
315,신세계앞,명동
316,남대문시장.회현역,회현(남대문시장)
317,남산3호터널,명동
318,남산3호터널.서울애니메이션센터,명동
319,명동입구,명동
320,퇴계로2가.명동역,명동
321,퇴계로3가.한옥마을.한국의집,충무로
322,충무로역2번출구.대한극장앞,충무로
323,충무로역8번출구.대한극장앞,충무로
324,초동,충무로
325,을지로입구.로얄호텔,을지로입구
326,을지로입구.시청입구,을지로입구
327,을지로2가.기업은행본점.서울노동청,을지로3가
328,을지로2가.파인에비뉴,을지로3가
329,을지로3가,을지로3가
330,을지로4가,을지로4가
331,을지로4가.베스트웨스턴국도,을지로4가
332,중구청앞.덕수중학교,을지로4가
333,을지로5가,을지로4가
334,을지로5가.중부시장,을지로4가
335,방산시장.훈련원종합체육관,종로5가
336,을지로5가.훈련원종합체육관,동대문역사문화공원
337,을지로6가.국립중앙의료원,동대문역사문화공원
338,광희동,동대문역사문화공원
339,동대문역사문화공원,동대문역사문화공원
340,충무아트센터.스포츠센터.중부소방서,동대문역사문화공원
341,성동공업고등학교(무궁화회관),신당
342,성동공업고등학교앞,신당
343,신당역.중앙시장앞,신당
344,성동고등학교,신당
345,신당동떡볶이타운.중구여성플라자,청구
346,신당동.청구역,청구
347,약수역2번출구.가온도서관,약수
348,약수역3번출구.약수하이츠,약수
349,약수역4번출구.금호터널입구,약수
350,약수역5번출구.금호터널입구,약수
351,약수역8번출구.신당사회복지관,약수
352,약수역7번출구.약수동주민센터,약수
353,송도병원앞,버티고개
354,약수역1번출구,약수
355,장충체육관앞,동대입구
356,장충동.동국대입구,동대입구
357,퇴계로6가,동대입구
358,퇴계로5가.제일병원,충무로
359,퇴계로5가,을지로4가
360,국립극장.반얀트리호텔,버티고개
361,청구역,청구
362,동화동,청구
363,백범광장,회현(남대문시장)
364,남대문경찰서,서울역
365,남대문시장앞.이회영활동터,회현(남대문시장)
366,남산케이블카.남산산책로입구,명동
367,숭의여대,명동
368,동대입구역.장충동,동대입구
369,약수역10번출구,약수
370,청계4가.배오개다리,을지로4가
371,청계5가.방산시장,종로5가
372,청계6가.평화시장,종로5가
373,청계7가.동평화.청평화시장,동대문
374,신한은행본점,회현(남대문시장)
375,버티고개,버티고개
376,청계3가.세운교,을지로4가
377,청계6가.오간수교,동대문
378,충무로역.매일경제,충무로
379,을지로입구역.광교,을지로입구
380,신당파인힐하나유보라,신당
381,명동국민은행앞,을지로입구
382,남산북측순환로입구,버티고개
383,신당동삼성아파트,신금호
384,신당동대우푸르지오,신금호
385,황학동주민센터,신당
386,신당초등학교앞,신당
387,금호베스트빌.삼성래미안아파트,신당
388,신당초등학교,신당
389,교육연구정보원,회현(남대문시장)
390,방산종합시장,종로5가
391,황학동롯데캐슬,동묘앞
